,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Other debtors / guarantors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telepthone,Foreign worker,Sex,Personal status
308,0 <= ... < 200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,... <  100 DM,1  <= ... < 4 years,3,none,4,real estate,24,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
309,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,... <  100 DM,1  <= ... < 4 years,4,none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes,male,married/widowed
310,0 <= ... < 200 DM,48,existing credits paid back duly till now,others,5381,unknown/ no savings account,unemployed,3,none,4,unknown / no property,40,bank,for free,1,unemployed/ unskilled  - non-resident,1,"yes, registered under the customers name",yes,male,single
311,no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 <= ... <  500 DM,1  <= ... < 4 years,4,none,1,"car or other, not in attribute 6",25,stores,own,1,skilled employee / official,1,none,yes,male,single
312,>= 200 DM,24,existing credits paid back duly till now,furniture/equipment,3749,... <  100 DM,... < 1 year,2,none,4,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
313,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... <  100 DM,4  <= ... < 7 years,2,none,3,"car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,none,yes,male,married/widowed
314,>= 200 DM,4,existing credits paid back duly till now,car (new),1494,unknown/ no savings account,... < 1 year,1,none,2,real estate,29,none,own,1,unskilled - resident,2,none,no,male,single
315,... < 0 DM,36,all credits at this bank paid back duly,furniture/equipment,2746,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",31,bank,own,1,skilled employee / official,1,none,yes,male,single
316,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,708,... <  100 DM,1  <= ... < 4 years,2,guarantor,3,building society savings agreement/ life insurance,38,none,own,1,unskilled - resident,2,none,yes,male,single
317,0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/ no savings account,1  <= ... < 4 years,1,none,4,building society savings agreement/ life insurance,48,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
318,no checking account,12,critical account/  other credits existing (not at this bank),education,701,... <  100 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,none,yes,male,single
319,... < 0 DM,15,delay in paying off in the past,furniture/equipment,3643,... <  100 DM,.. >= 7 years,1,none,4,building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,none,yes,female,divorced/separated/married
320,0 <= ... < 200 DM,30,critical account/  other credits existing (not at this bank),car (new),4249,... <  100 DM,unemployed,4,none,2,"car or other, not in attribute 6",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,married/widowed
321,... < 0 DM,24,existing credits paid back duly till now,radio/television,1938,... <  100 DM,... < 1 year,4,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated
322,... < 0 DM,24,existing credits paid back duly till now,car (used),2910,... <  100 DM,4  <= ... < 7 years,2,none,1,unknown / no property,34,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
323,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,.. >= 1000 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes,male,single
324,no checking account,18,critical account/  other credits existing (not at this bank),car (new),1028,... <  100 DM,1  <= ... < 4 years,4,none,3,real estate,36,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
325,... < 0 DM,8,critical account/  other credits existing (not at this bank),car (new),3398,... <  100 DM,4  <= ... < 7 years,1,none,4,real estate,39,none,own,2,unskilled - resident,1,none,no,male,single
326,no checking account,12,critical account/  other credits existing (not at this bank),furniture/equipment,5801,unknown/ no savings account,.. >= 7 years,2,none,4,building society savings agreement/ life insurance,49,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
327,no checking account,24,existing credits paid back duly till now,car (new),1525,.. >= 1000 DM,4  <= ... < 7 years,4,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,female,divorced/separated/married
328,>= 200 DM,36,existing credits paid back duly till now,radio/television,4473,... <  100 DM,.. >= 7 years,4,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes,male,single
329,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,1068,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,2,none,yes,male,single
330,... < 0 DM,24,critical account/  other credits existing (not at this bank),car (used),6615,... <  100 DM,unemployed,2,none,4,unknown / no property,75,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
331,no checking account,18,critical account/  other credits existing (not at this bank),education,1864,100 <= ... <  500 DM,1  <= ... < 4 years,4,none,2,real estate,30,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
332,0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... <  500 DM,... < 1 year,4,none,2,building society savings agreement/ life insurance,24,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married
333,no checking account,48,critical account/  other credits existing (not at this bank),car (used),11590,100 <= ... <  500 DM,1  <= ... < 4 years,2,none,4,"car or other, not in attribute 6",24,bank,rent,2,unskilled - resident,1,none,yes,female,divorced/separated/married
334,... < 0 DM,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,... <  100 DM,.. >= 7 years,3,none,4,unknown / no property,23,bank,rent,2,skilled employee / official,2,none,yes,male,single
335,... < 0 DM,6,critical account/  other credits existing (not at this bank),furniture/equipment,3384,... <  100 DM,1  <= ... < 4 years,1,none,4,real estate,44,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,divorced/separated
336,0 <= ... < 200 DM,13,existing credits paid back duly till now,radio/television,2101,... <  100 DM,... < 1 year,2,guarantor,4,building society savings agreement/ life insurance,23,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married
337,... < 0 DM,15,existing credits paid back duly till now,domestic appliances,1275,unknown/ no savings account,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
338,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,... <  100 DM,1  <= ... < 4 years,4,none,4,building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes,male,single
339,0 <= ... < 200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,... <  100 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",31,none,own,1,unskilled - resident,1,none,yes,male,divorced/separated
340,0 <= ... < 200 DM,24,critical account/  other credits existing (not at this bank),education,5743,... <  100 DM,... < 1 year,2,none,4,unknown / no property,24,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
341,... < 0 DM,21,existing credits paid back duly till now,furniture/equipment,3599,... <  100 DM,4  <= ... < 7 years,1,none,4,"car or other, not in attribute 6",26,none,rent,1,unskilled - resident,1,none,yes,female,divorced/separated/married
342,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,3213,500 <= ... < 1000 DM,... < 1 year,1,none,3,real estate,25,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed
343,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,4439,... <  100 DM,.. >= 7 years,1,co-applicant,1,real estate,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
344,>= 200 DM,10,existing credits paid back duly till now,car (new),3949,... <  100 DM,... < 1 year,1,guarantor,1,building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,2,none,yes,male,single
345,no checking account,15,critical account/  other credits existing (not at this bank),radio/television,1459,... <  100 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",43,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married
346,0 <= ... < 200 DM,13,critical account/  other credits existing (not at this bank),radio/television,882,... <  100 DM,... < 1 year,4,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,male,single
347,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,3758,500 <= ... < 1000 DM,unemployed,1,none,4,unknown / no property,23,none,rent,1,unemployed/ unskilled  - non-resident,1,none,yes,female,divorced/separated/married
348,no checking account,6,delay in paying off in the past,business,1743,100 <= ... <  500 DM,1  <= ... < 4 years,1,none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes,male,single
349,0 <= ... < 200 DM,9,critical account/  other credits existing (not at this bank),education,1136,.. >= 1000 DM,.. >= 7 years,4,none,3,unknown / no property,32,none,for free,2,skilled employee / official,2,none,yes,male,single
350,no checking account,9,existing credits paid back duly till now,domestic appliances,1236,... <  100 DM,... < 1 year,1,none,4,real estate,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
351,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,959,... <  100 DM,1  <= ... < 4 years,1,none,2,"car or other, not in attribute 6",29,none,own,1,skilled employee / official,1,none,no,female,divorced/separated/married
352,no checking account,18,critical account/  other credits existing (not at this bank),car (used),3229,unknown/ no savings account,unemployed,2,none,4,unknown / no property,38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
353,... < 0 DM,12,no credits taken/ all credits paid back duly,radio/television,6199,... <  100 DM,1  <= ... < 4 years,4,none,2,building society savings agreement/ life insurance,28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
